text,translation,note,categories
the speed of light in a vacuum is approximately 299792458 meters per second,真空中の光速は毎秒およそ299792458メートルである,,"science,academic,hard"
atoms consist of protons neutrons and electrons held together by fundamental forces,原子は陽子・中性子・電子からなり基本的な力で結び付けられている,,"science,academic,hard"
the law of conservation of energy states that energy cannot be created or destroyed,エネルギー保存の法則はエネルギーが生み出されも消滅もしないと述べる,,"science,academic,hard"
the periodic table organizes all known elements by atomic number and chemical properties,周期表は既知の全元素を原子番号と化学的性質で整理している,,"science,academic,hard"
a light year is the distance light travels in one year roughly 9.46 trillion kilometers,光年は光が1年間に進む距離でおよそ9.46兆キロメートルである,,"science,academic,hard"
the second law of thermodynamics states that entropy in an isolated system always increases,熱力学第二法則は孤立系のエントロピーが常に増大すると述べる,,"science,academic,hard"
gravitational waves were first directly detected by LIGO in September 2015,重力波は2015年9月にLIGOによって初めて直接検出された,,"science,academic,hard"
quantum mechanics describes the behavior of matter and energy at subatomic scales,量子力学は原子より小さな尺度での物質とエネルギーの振る舞いを記述する,,"science,academic,hard"
the Doppler effect causes a shift in observed frequency as a source moves toward or away,ドップラー効果は音源や光源が近づいたり遠ざかったりすると観測周波数がずれる現象である,,"science,academic,hard"
nuclear fusion powers the sun by combining hydrogen nuclei into helium at extreme temperatures,核融合は極高温で水素原子核をヘリウムに結合させることで太陽を駆動している,,"science,academic,hard"
Bohr's model of the atom introduced discrete quantized energy levels for electrons,ボーアの原子模型は電子に離散的で量子化されたエネルギー準位を導入した,,"science,academic,hard"
electromagnetic radiation encompasses radio waves microwaves infrared visible and ultraviolet light,電磁放射には電波・マイクロ波・赤外線・可視光・紫外線が含まれる,,"science,academic,hard"
the half-life of a radioactive isotope is the time required for half its atoms to decay,放射性同位体の半減期はその原子の半数が崩壊するまでの時間である,,"science,academic,hard"
Newton's third law states that every action has an equal and opposite reaction,ニュートンの第三法則はあらゆる作用に対して大きさが等しく反対向きの反作用があると述べる,,"science,academic,hard"
dark matter does not emit or absorb light yet constitutes most of the universe's mass,ダークマターは光を放出も吸収もしないが宇宙質量の大部分を占める,,"science,academic,hard"
superconductivity occurs when certain materials lose all electrical resistance near absolute zero,超伝導は特定の物質が絶対零度近くで電気抵抗を完全に失う現象である,,"science,academic,hard"
the Higgs boson was confirmed at the Large Hadron Collider in July 2012,ヒッグス粒子は2012年7月に大型ハドロン衝突型加速器で確認された,,"science,academic,hard"
a black hole has a gravitational field so strong that nothing not even light can escape,ブラックホールは光さえ逃れられないほど強い重力場を持つ,,"science,academic,hard"
the uncertainty principle states that position and momentum cannot both be precisely known,不確定性原理は位置と運動量を同時に正確には知り得ないとする,,"science,academic,hard"
chemical bonds form when atoms share or transfer electrons to achieve stable configurations,原子は安定な配置を得るために電子を共有または受け渡して化学結合を作る,,"science,academic,hard"
plate tectonics explains the movement of lithospheric plates and the formation of mountains,プレートテクトニクスは岩石圏プレートの移動と山脈形成を説明する,,"science,academic,hard"
absolute zero is the lowest possible temperature at minus 273.15 degrees Celsius,絶対零度は摂氏マイナス273.15度の理論上もっとも低い温度である,,"science,academic,hard"
the wavelength of visible light ranges from approximately 380 to 740 nanometers,可視光の波長はおよそ380から740ナノメートルの範囲にある,,"science,academic,hard"
radioactive decay transforms unstable nuclei into more stable daughter nuclei over time,放射性崩壊は不安定な原子核を時間とともにより安定な娘核へ変える,,"science,academic,hard"
the strong nuclear force holds protons and neutrons together inside the atomic nucleus,強い核力は原子核内部で陽子と中性子を結び付ける,,"science,academic,hard"
Avogadro's number is approximately 6.022 times ten to the power of 23 particles per mole,アボガドロ数は1モルあたり約6.022×10の23乗個である,,"science,academic,hard"
thermodynamics studies the relationships between heat work and energy in physical systems,熱力学は物理系における熱・仕事・エネルギーの関係を研究する,,"science,academic,hard"
entropy tends to increase in isolated thermodynamic systems,孤立した熱力学系ではエントロピーが増大する傾向がある,,"science,academic,hard"
plate tectonics explains the movement of lithospheric plates,プレートテクトニクスは岩石圏プレートの移動を説明する,,"science,academic,hard"
the Doppler effect shifts observed frequency when the source is moving,ドップラー効果は音源や光源が動くと観測周波数を変化させる,,"science,academic,hard"
isotopes of the same element differ in neutron number,同じ元素の同位体は中性子数が異なる,,"science,academic,hard"
peer review helps evaluate the rigor of scientific claims,査読は科学的主張の厳密さを評価する助けになる,,"science,academic,hard"
